"sentence","verb","frame","voice","polarity","conditional","Mean","low.ci","high.ci","SD","C"
"A particular person asked to have a particular thing.","ask","to_VPstative","active","positive","False",0.5,0.166666666666667,0.166666666666667,0.25,9
"A particular person asserted to have a particular thing.","assert","to_VPstative","active","positive","False",0.777777777777778,0.166666666666667,0.166666666666667,0.263523138347365,9
"A particular person assigned to do a particular thing.","assign","to_VPeventive","active","positive","False",0.55,0.15,0.2,0.283823106098773,10
"A particular person attempted to do a particular thing.","attempt","to_VPeventive","active","positive","False",0.6,0.1,0.15,0.210818510677892,10
"A particular person attempted to have a particular thing.","attempt","to_VPstative","active","positive","False",0.45,0.1,0.05,0.158113883008419,10
"A particular person bargained to do a particular thing.","bargain","to_VPeventive","active","positive","False",0.75,0.15,0.15,0.263523138347365,10
"A particular person barked to have a particular thing.","bark","to_VPstative","active","positive","False",0.55,0.05,0.1,0.158113883008419,10
"A particular person began to do a particular thing.","begin","to_VPeventive","active","positive","False",0.95,0.1,0.05,0.158113883008419,10
"A particular person began to have a particular thing.","begin","to_VPstative","active","positive","False",0.95,0.1,0.05,0.158113883008419,10
"A particular person begged to do a particular thing.","beg","to_VPeventive","active","positive","False",0.55,0.05,0.1,0.158113883008419,10
"A particular person begged to have a particular thing.","beg","to_VPstative","active","positive","False",0.333333333333333,0.166666666666667,0.111111111111111,0.25,9
"A particular person bothered to do a particular thing.","bother","to_VPeventive","active","positive","False",0.9,0.15,0.1,0.210818510677892,10
"A particular person brooded to have a particular thing.","brood","to_VPstative","active","positive","False",0.45,0.15,0.15,0.283823106098773,10
"A particular person calculated to do a particular thing.","calculate","to_VPeventive","active","positive","False",0.6,0.1,0.15,0.210818510677892,10
"A particular person came around to do a particular thing.","come_around","to_VPeventive","active","positive","False",0.85,0.15,0.15,0.241522945769824,10
"A particular person came out to do a particular thing.","come_out","to_VPeventive","active","positive","False",0.65,0.15,0.15,0.241522945769824,10
"A particular person came to do a particular thing.","come","to_VPeventive","active","positive","False",0.8,0.15,0.15,0.258198889747161,10
"A particular person came to have a particular thing.","come","to_VPstative","active","positive","False",0.95,0.1,0.05,0.158113883008419,10
"A particular person cared to do a particular thing.","care","to_VPeventive","active","positive","False",0.8,0.15,0.15,0.258198889747161,10
"A particular person cared to have a particular thing.","care","to_VPstative","active","positive","False",0.65,0.15,0.15,0.241522945769824,10
"A particular person ceased to do a particular thing.","cease","to_VPeventive","active","positive","False",0.25,0.2,0.25,0.424918292799399,10
"A particular person ceased to have a particular thing.","cease","to_VPstative","active","positive","False",0.222222222222222,0.222222222222222,0.333333333333333,0.440958551844098,9
"A particular person celebrated to have a particular thing.","celebrate","to_VPstative","active","positive","False",0.85,0.15,0.15,0.241522945769824,10
"A particular person certified to have a particular thing.","certify","to_VPstative","active","positive","False",0.7,0.15,0.15,0.258198889747161,10
"A particular person chanted to do a particular thing.","chant","to_VPeventive","active","positive","False",0.45,0.1,0.05,0.158113883008419,10
"A particular person checked to have a particular thing.","check","to_VPstative","active","positive","False",0.65,0.10125,0.15,0.241522945769824,10
"A particular person chose to do a particular thing.","choose","to_VPeventive","active","positive","False",0.9,0.2,0.1,0.316227766016838,10
"A particular person claimed to do a particular thing.","claim","to_VPeventive","active","positive","False",0.7,0.15,0.15,0.258198889747161,10
"A particular person claimed to have a particular thing.","claim","to_VPstative","active","positive","False",0.55,0.05,0.1,0.158113883008419,10
"A particular person commanded to do a particular thing.","command","to_VPeventive","active","positive","False",0.7,0.15,0.15,0.258198889747161,10
"A particular person commenced to do a particular thing.","commence","to_VPeventive","active","positive","False",1,0,0,0,10
"A particular person commented to do a particular thing.","comment","to_VPeventive","active","positive","False",0.5,0,0,0,10
"A particular person competed to do a particular thing.","compete","to_VPeventive","active","positive","False",0.65,0.10125,0.15,0.241522945769824,10
"A particular person conceded to have a particular thing.","concede","to_VPstative","active","positive","False",0.8,0.15,0.15,0.258198889747161,10
"A particular person conceived to do a particular thing.","conceive","to_VPeventive","active","positive","False",0.5,0.2,0.2,0.333333333333333,10
"A particular person concluded to do a particular thing.","conclude","to_VPeventive","active","positive","False",0.7,0.15,0.15,0.258198889747161,10
"A particular person concurred to do a particular thing.","concur","to_VPeventive","active","positive","False",0.5,0,0,0,10
"A particular person confessed to do a particular thing.","confess","to_VPeventive","active","positive","False",0.9,0.15,0.1,0.210818510677892,10
"A particular person confessed to have a particular thing.","confess","to_VPstative","active","positive","False",1,0,0,0,10
"A particular person confided to have a particular thing.","confide","to_VPstative","active","positive","False",0.9,0.15,0.1,0.210818510677892,10
"A particular person consented to do a particular thing.","consent","to_VPeventive","active","positive","False",0.85,0.15,0.15,0.241522945769824,10
"A particular person consented to have a particular thing.","consent","to_VPstative","active","positive","False",0.8,0.2,0.2,0.349602949390051,10
"A particular person considered to do a particular thing.","consider","to_VPeventive","active","positive","False",0.55,0.05,0.1,0.158113883008419,10
"A particular person conspired to do a particular thing.","conspire","to_VPeventive","active","positive","False",0.6,0.1,0.15,0.210818510677892,10
"A particular person contended to do a particular thing.","contend","to_VPeventive","active","positive","False",0.7,0.15,0.15,0.258198889747161,10
"A particular person continued to do a particular thing.","continue","to_VPeventive","active","positive","False",1,0,0,0,10
"A particular person continued to have a particular thing.","continue","to_VPstative","active","positive","False",1,0,0,0,10
"A particular person contracted to do a particular thing.","contract","to_VPeventive","active","positive","False",0.65,0.1,0.15,0.241522945769824,10
"A particular person counselled to do a particular thing.","counsel","to_VPeventive","active","positive","False",0.611111111111111,0.111111111111111,0.112499999999999,0.220479275922049,9
"A particular person craved to do a particular thing.","crave","to_VPeventive","active","positive","False",0.5,0,0,0,9
"A particular person cried to have a particular thing.","cry","to_VPstative","active","positive","False",0.45,0.2,0.25,0.368932393686311,10
"A particular person dared to do a particular thing.","dare","to_VPeventive","active","positive","False",0.8,0.20125,0.15,0.349602949390051,10
"A particular person dared to have a particular thing.","dare","to_VPstative","active","positive","False",0.95,0.1,0.05,0.158113883008419,10
"A particular person daydreamed to have a particular thing.","daydream","to_VPstative","active","positive","False",0.2,0.15,0.15,0.258198889747161,10
"A particular person decided to do a particular thing.","decide","to_VPeventive","active","positive","False",0.9,0.15,0.1,0.210818510677892,10
"A particular person decided to have a particular thing.","decide","to_VPstative","active","positive","False",0.7,0.15,0.15,0.258198889747161,10
"A particular person declared to do a particular thing.","declare","to_VPeventive","active","positive","False",0.65,0.1,0.15,0.241522945769824,10
"A particular person declared to have a particular thing.","declare","to_VPstative","active","positive","False",0.85,0.15,0.15,0.241522945769824,10
"A particular person declined to do a particular thing.","decline","to_VPeventive","active","positive","False",0,0,0,0,10
"A particular person declined to have a particular thing.","decline","to_VPstative","active","positive","False",0,0,0,0,9
"A particular person decreed to do a particular thing.","decree","to_VPeventive","active","positive","False",0.6,0.1,0.15,0.210818510677892,10
"A particular person decreed to have a particular thing.","decree","to_VPstative","active","positive","False",0.7,0.15,0.15,0.258198889747161,10
"A particular person deemed to have a particular thing.","deem","to_VPstative","active","positive","False",0.7,0.15,0.15,0.258198889747161,10
"A particular person demanded to do a particular thing.","demand","to_VPeventive","active","positive","False",0.6,0.1,0.15,0.210818510677892,10
"A particular person demanded to have a particular thing.","demand","to_VPstative","active","positive","False",0.45,0.15,0.15,0.283823106098773,10
"A particular person denied to have a particular thing.","deny","to_VPstative","active","positive","False",0.2,0.15,0.15,0.258198889747161,10
"A particular person deserved to do a particular thing.","deserve","to_VPeventive","active","positive","False",0.611111111111111,0.111111111111111,0.166666666666667,0.220479275922049,9
"A particular person deserved to have a particular thing.","deserve","to_VPstative","active","positive","False",0.5,0,0,0,10
"A particular person designed to do a particular thing.","design","to_VPeventive","active","positive","False",0.55,0.05,0.1,0.158113883008419,10
"A particular person desired to do a particular thing.","desire","to_VPeventive","active","positive","False",0.45,0.1,0.05,0.158113883008419,10
"A particular person desired to have a particular thing.","desire","to_VPstative","active","positive","False",0.15,0.15,0.15,0.241522945769824,10
"A particular person despaired to have a particular thing.","despair","to_VPstative","active","positive","False",0.5,0.2,0.2,0.333333333333333,10
"A particular person determined to do a particular thing.","determine","to_VPeventive","active","positive","False",0.7,0.2,0.2,0.349602949390051,10
"A particular person determined to have a particular thing.","determine","to_VPstative","active","positive","False",0.6,0.1,0.15,0.210818510677892,10
"A particular person detested to do a particular thing.","detest","to_VPeventive","active","positive","False",0.55,0.15,0.15,0.283823106098773,10
"A particular person dictated to have a particular thing.","dictate","to_VPstative","active","positive","False",0.55,0.15,0.15,0.283823106098773,10
"A particular person didn\'t accept to have a particular thing.","accept","to_VPstative","active","negative","False",0.3,0.15,0.15,0.258198889747161,10
"A particular person didn\'t acknowledge to do a particular thing.","acknowledge","to_VPeventive","active","negative","False",0.388888888888889,0.166666666666667,0.111111111111111,0.220479275922049,9
"A particular person didn\'t admit to have a particular thing.","admit","to_VPstative","active","negative","False",0.5,0.15,0.15,0.235702260395516,10
"A particular person didn\'t advertise to do a particular thing.","advertise","to_VPeventive","active","negative","False",0.4,0.15,0.1,0.210818510677892,10
"A particular person didn\'t advertise to have a particular thing.","advertise","to_VPstative","active","negative","False",0.65,0.15,0.15,0.241522945769824,10
"A particular person didn\'t advise to do a particular thing.","advise","to_VPeventive","active","negative","False",0.5,0,0,0,10
"A particular person didn\'t advocate to do a particular thing.","advocate","to_VPeventive","active","negative","False",0.45,0.15,0.15,0.283823106098773,10
"A particular person didn\'t affirm to do a particular thing.","affirm","to_VPeventive","active","negative","False",0.4,0.15,0.1,0.210818510677892,10
"A particular person didn\'t affirm to have a particular thing.","affirm","to_VPstative","active","negative","False",0.3,0.15,0.15,0.258198889747161,10
"A particular person didn\'t agonize to do a particular thing.","agonize","to_VPeventive","active","negative","False",0.6,0.25,0.2,0.394405318873308,10
"A particular person didn\'t agree to do a particular thing.","agree","to_VPeventive","active","negative","False",0.2,0.15,0.15,0.258198889747161,10
"A particular person didn\'t agree to have a particular thing.","agree","to_VPstative","active","negative","False",0.35,0.15,0.15,0.241522945769824,10
"A particular person didn\'t aim to do a particular thing.","aim","to_VPeventive","active","negative","False",0.35,0.2,0.2,0.337474278855276,10
"A particular person didn\'t aim to have a particular thing.","aim","to_VPstative","active","negative","False",0.35,0.2,0.2,0.337474278855276,10
"A particular person didn\'t allege to do a particular thing.","allege","to_VPeventive","active","negative","False",0.4,0.15,0.1,0.210818510677892,10
"A particular person didn\'t allege to have a particular thing.","allege","to_VPstative","active","negative","False",0.45,0.15,0.15,0.283823106098773,10
"A particular person didn\'t announce to have a particular thing.","announce","to_VPstative","active","negative","False",0.45,0.15,0.15,0.283823106098773,10
"A particular person didn\'t answer to do a particular thing.","answer","to_VPeventive","active","negative","False",0.4,0.2,0.15,0.316227766016838,10
"A particular person didn\'t anticipate to do a particular thing.","anticipate","to_VPeventive","active","negative","False",0.35,0.15,0.15,0.241522945769824,10
"A particular person didn\'t appeal to do a particular thing.","appeal","to_VPeventive","active","negative","False",0.45,0.15,0.15,0.283823106098773,10
"A particular person didn\'t appear to do a particular thing.","appear","to_VPeventive","active","negative","False",0.4,0.15,0.1,0.210818510677892,10
"A particular person didn\'t appear to have a particular thing.","appear","to_VPstative","active","negative","False",0.45,0.1,0.05,0.158113883008419,10
"A particular person didn\'t apply to do a particular thing.","apply","to_VPeventive","active","negative","False",0.25,0.15,0.15,0.263523138347365,10
"A particular person didn\'t apply to have a particular thing.","apply","to_VPstative","active","negative","False",0.4,0.15,0.1,0.210818510677892,10
"A particular person didn\'t approve to have a particular thing.","approve","to_VPstative","active","negative","False",0.25,0.15,0.15,0.263523138347365,10
"A particular person didn\'t argue to do a particular thing.","argue","to_VPeventive","active","negative","False",0.611111111111111,0.111111111111111,0.166666666666667,0.220479275922049,9
"A particular person didn\'t argue to have a particular thing.","argue","to_VPstative","active","negative","False",0.45,0.15,0.15,0.283823106098773,10
"A particular person didn\'t arrange to do a particular thing.","arrange","to_VPeventive","active","negative","False",0.35,0.2,0.2,0.337474278855276,10
"A particular person didn\'t arrange to have a particular thing.","arrange","to_VPstative","active","negative","False",0.25,0.15,0.15,0.263523138347365,10
"A particular person didn\'t ascertain to have a particular thing.","ascertain","to_VPstative","active","negative","False",0.3,0.15,0.15,0.258198889747161,10
"A particular person didn\'t ask to do a particular thing.","ask","to_VPeventive","active","negative","False",0.388888888888889,0.166666666666667,0.111111111111111,0.220479275922049,9
"A particular person didn\'t ask to have a particular thing.","ask","to_VPstative","active","negative","False",0.6,0.2,0.2,0.316227766016838,10
"A particular person didn\'t assert to have a particular thing.","assert","to_VPstative","active","negative","False",0.35,0.2,0.2,0.337474278855276,10
"A particular person didn\'t assign to do a particular thing.","assign","to_VPeventive","active","negative","False",0.4,0.15,0.1,0.210818510677892,10
"A particular person didn\'t attempt to do a particular thing.","attempt","to_VPeventive","active","negative","False",0,0,0,0,10
"A particular person didn\'t attempt to have a particular thing.","attempt","to_VPstative","active","negative","False",0.15,0.15,0.15,0.241522945769824,10
"A particular person didn\'t bargain to do a particular thing.","bargain","to_VPeventive","active","negative","False",0.55,0.15,0.15,0.283823106098773,10
"A particular person didn\'t bark to have a particular thing.","bark","to_VPstative","active","negative","False",0.4,0.15,0.2,0.316227766016838,10
"A particular person didn\'t be to do a particular thing.","be","to_VPeventive","active","negative","False",0.277777777777778,0.166666666666667,0.166666666666667,0.263523138347365,9
"A particular person didn\'t be to have a particular thing.","be","to_VPstative","active","negative","False",0.388888888888889,0.166666666666667,0.111111111111111,0.220479275922049,9
"A particular person didn\'t beg to do a particular thing.","beg","to_VPeventive","active","negative","False",0.45,0.1,0.05,0.158113883008419,10
"A particular person didn\'t beg to have a particular thing.","beg","to_VPstative","active","negative","False",0.5,0.15,0.15,0.235702260395516,10
"A particular person didn\'t begin to do a particular thing.","begin","to_VPeventive","active","negative","False",0.1,0.1,0.15,0.210818510677892,10
"A particular person didn\'t begin to have a particular thing.","begin","to_VPstative","active","negative","False",0.25,0.2,0.25,0.353553390593274,10
"A particular person didn\'t bother to do a particular thing.","bother","to_VPeventive","active","negative","False",0.05,0.05,0.1,0.158113883008419,10
"A particular person didn\'t brood to have a particular thing.","brood","to_VPstative","active","negative","False",0.45,0.1,0.05,0.158113883008419,10
"A particular person didn\'t calculate to do a particular thing.","calculate","to_VPeventive","active","negative","False",0.35,0.2,0.2,0.337474278855276,10
"A particular person didn\'t care to do a particular thing.","care","to_VPeventive","active","negative","False",0.2,0.15,0.15,0.258198889747161,10
"A particular person didn\'t care to have a particular thing.","care","to_VPstative","active","negative","False",0.35,0.15,0.15,0.241522945769824,10
"A particular person didn\'t cease to do a particular thing.","cease","to_VPeventive","active","negative","False",0.9,0.2,0.1,0.316227766016838,10
"A particular person didn\'t cease to have a particular thing.","cease","to_VPstative","active","negative","False",0.85,0.25,0.15,0.337474278855276,10
"A particular person didn\'t celebrate to have a particular thing.","celebrate","to_VPstative","active","negative","False",0.5,0.2,0.2,0.333333333333333,10
"A particular person didn\'t certify to have a particular thing.","certify","to_VPstative","active","negative","False",0.2,0.2,0.2,0.349602949390051,10
"A particular person didn\'t chant to do a particular thing.","chant","to_VPeventive","active","negative","False",0.45,0.15,0.15,0.283823106098773,10
"A particular person didn\'t check to have a particular thing.","check","to_VPstative","active","negative","False",0.5,0,0,0,10
"A particular person didn\'t choose to do a particular thing.","choose","to_VPeventive","active","negative","False",0.35,0.15,0.15,0.241522945769824,10
"A particular person didn\'t claim to do a particular thing.","claim","to_VPeventive","active","negative","False",0.45,0.15,0.15,0.283823106098773,10
"A particular person didn\'t claim to have a particular thing.","claim","to_VPstative","active","negative","False",0.45,0.1,0.05,0.158113883008419,10
"A particular person didn\'t come around to do a particular thing.","come_around","to_VPeventive","active","negative","False",0.111111111111111,0.111111111111111,0.166666666666667,0.220479275922049,9
"A particular person didn\'t come out to do a particular thing.","come_out","to_VPeventive","active","negative","False",0.15,0.10125,0.15,0.241522945769824,10
"A particular person didn\'t come to do a particular thing.","come","to_VPeventive","active","negative","False",0.2,0.15,0.15,0.258198889747161,10
"A particular person didn\'t come to have a particular thing.","come","to_VPstative","active","negative","False",0.05,0.05,0.1,0.158113883008419,10
"A particular person didn\'t command to do a particular thing.","command","to_VPeventive","active","negative","False",0.4,0.2,0.2,0.316227766016838,10
"A particular person didn\'t commence to do a particular thing.","commence","to_VPeventive","active","negative","False",0.05,0.05,0.1,0.158113883008419,10
"A particular person didn\'t comment to do a particular thing.","comment","to_VPeventive","active","negative","False",0.45,0.1,0.05,0.158113883008419,10
"A particular person didn\'t compete to do a particular thing.","compete","to_VPeventive","active","negative","False",0.2,0.15,0.15,0.258198889747161,10
"A particular person didn\'t concede to have a particular thing.","concede","to_VPstative","active","negative","False",0.4,0.15,0.1,0.210818510677892,10
"A particular person didn\'t conceive to do a particular thing.","conceive","to_VPeventive","active","negative","False",0.2,0.15,0.15,0.258198889747161,10
"A particular person didn\'t conclude to do a particular thing.","conclude","to_VPeventive","active","negative","False",0.3,0.15,0.15,0.258198889747161,10
"A particular person didn\'t concur to do a particular thing.","concur","to_VPeventive","active","negative","False",0.25,0.15,0.15,0.263523138347365,10
"A particular person didn\'t confess to do a particular thing.","confess","to_VPeventive","active","negative","False",0.45,0.1,0.05,0.158113883008419,10
"A particular person didn\'t confess to have a particular thing.","confess","to_VPstative","active","negative","False",0.45,0.1,0.05,0.158113883008419,10
"A particular person didn\'t confide to have a particular thing.","confide","to_VPstative","active","negative","False",0.35,0.15,0.15,0.241522945769824,10
"A particular person didn\'t consent to do a particular thing.","consent","to_VPeventive","active","negative","False",0.25,0.15,0.15,0.263523138347365,10
"A particular person didn\'t consent to have a particular thing.","consent","to_VPstative","active","negative","False",0.45,0.15,0.15,0.283823106098773,10
"A particular person didn\'t consider to do a particular thing.","consider","to_VPeventive","active","negative","False",0.2,0.15,0.15,0.258198889747161,10
"A particular person didn\'t conspire to do a particular thing.","conspire","to_VPeventive","active","negative","False",0.35,0.15,0.15,0.241522945769824,10
"A particular person didn\'t contend to do a particular thing.","contend","to_VPeventive","active","negative","False",0.277777777777778,0.166666666666667,0.166666666666667,0.263523138347365,9
"A particular person didn\'t continue to do a particular thing.","continue","to_VPeventive","active","negative","False",0.444444444444444,0.333333333333333,0.333333333333333,0.52704627669473,9
"A particular person didn\'t continue to have a particular thing.","continue","to_VPstative","active","negative","False",0.25,0.25,0.3,0.424918292799399,10
"A particular person didn\'t contract to do a particular thing.","contract","to_VPeventive","active","negative","False",0.3,0.2,0.2,0.34960294939005,10
"A particular person didn\'t counsel to do a particular thing.","counsel","to_VPeventive","active","negative","False",0.55,0.05,0.1,0.158113883008419,10
"A particular person didn\'t crave to do a particular thing.","crave","to_VPeventive","active","negative","False",0.4,0.15,0.1,0.210818510677892,10
"A particular person didn\'t cry to have a particular thing.","cry","to_VPstative","active","negative","False",0.45,0.2,0.25,0.368932393686311,10
"A particular person didn\'t dare to do a particular thing.","dare","to_VPeventive","active","negative","False",0,0,0,0,10
"A particular person didn\'t dare to have a particular thing.","dare","to_VPstative","active","negative","False",0,0,0,0,10
"A particular person didn\'t daydream to have a particular thing.","daydream","to_VPstative","active","negative","False",0.5,0,0,0,10
"A particular person didn\'t decide to do a particular thing.","decide","to_VPeventive","active","negative","False",0.25,0.15,0.15,0.263523138347365,10
"A particular person didn\'t decide to have a particular thing.","decide","to_VPstative","active","negative","False",0.3,0.15,0.15,0.258198889747161,10
"A particular person didn\'t declare to do a particular thing.","declare","to_VPeventive","active","negative","False",0.4,0.10125,0.1,0.210818510677892,10
"A particular person didn\'t declare to have a particular thing.","declare","to_VPstative","active","negative","False",0.333333333333333,0.166666666666667,0.111111111111111,0.25,9
"A particular person didn\'t decline to do a particular thing.","decline","to_VPeventive","active","negative","False",0.75,0.15,0.15,0.263523138347365,10
"A particular person didn\'t decline to have a particular thing.","decline","to_VPstative","active","negative","False",0.888888888888889,0.166666666666667,0.111111111111111,0.220479275922049,9
"A particular person didn\'t decree to do a particular thing.","decree","to_VPeventive","active","negative","False",0.35,0.15,0.101249999999999,0.241522945769824,10
"A particular person didn\'t decree to have a particular thing.","decree","to_VPstative","active","negative","False",0.45,0.1,0.05,0.158113883008419,10
"A particular person didn\'t deem to have a particular thing.","deem","to_VPstative","active","negative","False",0.2,0.15,0.15,0.258198889747161,10
"A particular person didn\'t demand to do a particular thing.","demand","to_VPeventive","active","negative","False",0.4,0.2,0.2,0.316227766016838,10
"A particular person didn\'t demand to have a particular thing.","demand","to_VPstative","active","negative","False",0.4,0.15,0.1,0.210818510677892,10
"A particular person didn\'t deny to have a particular thing.","deny","to_VPstative","active","negative","False",0.5,0,0,0,10
"A particular person didn\'t deserve to do a particular thing.","deserve","to_VPeventive","active","negative","False",0.65,0.10125,0.15,0.241522945769824,10
"A particular person didn\'t deserve to have a particular thing.","deserve","to_VPstative","active","negative","False",0.55,0.15,0.15,0.283823106098773,10
"A particular person didn\'t design to do a particular thing.","design","to_VPeventive","active","negative","False",0.25,0.15,0.15,0.263523138347365,10
"A particular person didn\'t desire to do a particular thing.","desire","to_VPeventive","active","negative","False",0.4,0.2,0.2,0.316227766016838,10
"A particular person didn\'t desire to have a particular thing.","desire","to_VPstative","active","negative","False",0.35,0.15,0.15,0.241522945769824,10
"A particular person didn\'t despair to have a particular thing.","despair","to_VPstative","active","negative","False",0.4,0.2,0.2,0.316227766016838,10
"A particular person didn\'t determine to do a particular thing.","determine","to_VPeventive","active","negative","False",0.3,0.15,0.15,0.258198889747161,10
"A particular person didn\'t determine to have a particular thing.","determine","to_VPstative","active","negative","False",0.15,0.15,0.15,0.241522945769824,10
"A particular person didn\'t detest to do a particular thing.","detest","to_VPeventive","active","negative","False",0.65,0.10125,0.15,0.241522945769824,10
"A particular person didn\'t dictate to have a particular thing.","dictate","to_VPstative","active","negative","False",0.4,0.15,0.1,0.210818510677892,10
"A particular person didn\'t disapprove to have a particular thing.","disapprove","to_VPstative","active","negative","False",0.55,0.05,0.1,0.158113883008419,10
"A particular person didn\'t discover to have a particular thing.","discover","to_VPstative","active","negative","False",0.25,0.15,0.15,0.263523138347365,10
"A particular person didn\'t dislike to do a particular thing.","dislike","to_VPeventive","active","negative","False",0.75,0.15,0.15,0.263523138347365,10
"A particular person didn\'t dislike to have a particular thing.","dislike","to_VPstative","active","negative","False",0.8,0.15,0.15,0.258198889747161,10
"A particular person didn\'t disregard to do a particular thing.","disregard","to_VPeventive","active","negative","False",0.55,0.15,0.15,0.283823106098773,10
"A particular person didn\'t dread to do a particular thing.","dread","to_VPeventive","active","negative","False",0.6,0.1,0.15,0.210818510677892,10
"A particular person didn\'t dread to have a particular thing.","dread","to_VPstative","active","negative","False",0.65,0.10125,0.15,0.241522945769824,10
"A particular person didn\'t dream to do a particular thing.","dream","to_VPeventive","active","negative","False",0.35,0.2,0.2,0.337474278855276,10
"A particular person didn\'t dream to have a particular thing.","dream","to_VPstative","active","negative","False",0.3,0.15,0.15,0.258198889747161,10
"A particular person didn\'t elect to do a particular thing.","elect","to_VPeventive","active","negative","False",0.2,0.15,0.15,0.258198889747161,10
"A particular person didn\'t elect to have a particular thing.","elect","to_VPstative","active","negative","False",0.25,0.15,0.15,0.263523138347365,10
"A particular person didn\'t email to do a particular thing.","email","to_VPeventive","active","negative","False",0.4,0.15,0.1,0.210818510677892,10
"A particular person didn\'t emphasize to do a particular thing.","emphasize","to_VPeventive","active","negative","False",0.4,0.15,0.1,0.210818510677892,10
"A particular person didn\'t engage to do a particular thing.","engage","to_VPeventive","active","negative","False",0.25,0.15,0.15,0.263523138347365,10
"A particular person didn\'t enlist to do a particular thing.","enlist","to_VPeventive","active","negative","False",0.35,0.2,0.2,0.337474278855276,10
"A particular person didn\'t enthuse to have a particular thing.","enthuse","to_VPstative","active","negative","False",0.45,0.1,0.05,0.158113883008419,10
"A particular person didn\'t envision to have a particular thing.","envision","to_VPstative","active","negative","False",0.5,0.2,0.2,0.333333333333333,10
"A particular person didn\'t excite to do a particular thing.","excite","to_VPeventive","active","negative","False",0.55,0.05,0.1,0.158113883008419,10
"A particular person didn\'t exclaim to do a particular thing.","exclaim","to_VPeventive","active","negative","False",0.4,0.15,0.1,0.210818510677892,10
